original	disposition	final_path	residual_path	stale_updated	evidence_anchor	review_record
feature-liveness-and-background-curator-removal.md	partial_archived	docs/proposals/done/feature-liveness-and-background-curator-removal.md	docs/proposals/pending/feature-liveness-inventory-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
frontend-development-module.md	pending_accurate	docs/proposals/pending/frontend-development-module.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
gemma4-unified-embed-rerank-synth-base.md	pending_accurate	docs/proposals/pending/gemma4-unified-embed-rerank-synth-base.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
git-core-contract-runtime-residual.md	partial_archived	docs/proposals/done/git-core-contract-runtime-residual.md	docs/proposals/pending/git-core-cross-process-rollout-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
governance-agent-identity-and-artifact-trust.md	pending_accurate	docs/proposals/pending/governance-agent-identity-and-artifact-trust.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
governance-attestable-enforcement.md	pending_accurate	docs/proposals/pending/governance-attestable-enforcement.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
governance-policy-surface-and-posture.md	pending_accurate	docs/proposals/pending/governance-policy-surface-and-posture.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
ir-sole-path-residual.md	pending_accurate	docs/proposals/pending/ir-sole-path-residual.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
kb-hybrid-outcome-wiring-residual.md	pending_accurate	docs/proposals/pending/kb-hybrid-outcome-wiring-residual.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
kb-ingest-content-push-deltas.md	pending_accurate	docs/proposals/pending/kb-ingest-content-push-deltas.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
large-refactor-delivery-and-compatibility.md	partial_archived	docs/proposals/done/large-refactor-delivery-and-compatibility.md	docs/proposals/pending/modular-refactor-completion-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
learning-to-rank-from-interactions.md	partial_archived	docs/proposals/done/learning-to-rank-from-interactions.md	docs/proposals/pending/learning-to-rank-activation-and-ipw-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
local-first-memory-and-trust-patterns.md	pending_accurate	docs/proposals/pending/local-first-memory-and-trust-patterns.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
mcp-adapter-bus-routing-residual.md	pending_accurate	docs/proposals/pending/mcp-adapter-bus-routing-residual.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
memory-auto-population-phase4.md	pending_accurate	docs/proposals/pending/memory-auto-population-phase4.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
memory-learning-and-inference-boundaries.md	partial_archived	docs/proposals/done/memory-learning-and-inference-boundaries.md	docs/proposals/pending/memory-learning-cross-process-boundaries-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
module-loader.md	pending_accurate	docs/proposals/pending/module-loader.md	-	yes	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
module-runtime-source-ownership-and-build-residual.md	partial_archived	docs/proposals/done/module-runtime-source-ownership-and-build-residual.md	docs/proposals/pending/descriptor-authoritative-build-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
mtls-transport-rollout-evidence.md	pending_accurate	docs/proposals/pending/mtls-transport-rollout-evidence.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
operator-audit-activity-residual.md	pending_accurate	docs/proposals/pending/operator-audit-activity-residual.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
org-data-connectors-and-source-ingestion.md	pending_accurate	docs/proposals/pending/org-data-connectors-and-source-ingestion.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
per-query-feature-persistence-residual.md	pending_accurate	docs/proposals/pending/per-query-feature-persistence-residual.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
per-user-remote-writes-authz.acceptance.md	partial_archived	docs/proposals/done/per-user-remote-writes-authz.acceptance.md	docs/proposals/pending/per-user-remote-writes-deployment-validation.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
per-user-remote-writes-authz.md	partial_archived	docs/proposals/done/per-user-remote-writes-authz.md	docs/proposals/pending/per-user-remote-writes-deployment-validation.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
per-user-writes-operator-cli-spec.md	complete	docs/proposals/done/per-user-writes-operator-cli-spec.md	-	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
persona-authored-outputs-residual.md	pending_accurate	docs/proposals/pending/persona-authored-outputs-residual.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
product-governance-web-and-config.md	partial_archived	docs/proposals/done/product-governance-web-and-config.md	docs/proposals/pending/runtime-control-product-boundary-residual.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
proposal-evidence-provenance-tiers.md	pending_accurate	docs/proposals/pending/proposal-evidence-provenance-tiers.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
proposal-retrieval-context-contract.md	pending_accurate	docs/proposals/pending/proposal-retrieval-context-contract.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
proposal-supersession-hygiene.md	pending_accurate	docs/proposals/pending/proposal-supersession-hygiene.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
remote-session-start-workspace-context.md	pending_accurate	docs/proposals/pending/remote-session-start-workspace-context.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
route-descriptor-single-source-of-truth-residual.md	pending_accurate	docs/proposals/pending/route-descriptor-single-source-of-truth-residual.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
standing-benchmark-cadence.md	pending_accurate	docs/proposals/pending/standing-benchmark-cadence.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
synthesis-sidecar-and-embedder-axis.md	partial_archived	docs/proposals/done/synthesis-sidecar-and-embedder-axis.md	docs/proposals/pending/synthesis-sidecar-throughput-validation.md	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
thin-client-capability-advertisement.md	pending_accurate	docs/proposals/pending/thin-client-capability-advertisement.md	-	yes	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
tiered-llm-offering-residual.md	pending_accurate	docs/proposals/pending/tiered-llm-offering-residual.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
tiered-llm-p2b-forwarding-and-streaming.md	pending_accurate	docs/proposals/pending/tiered-llm-p2b-forwarding-and-streaming.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
tiered-llm-p6-native-invokemodel-and-pricing.md	pending_accurate	docs/proposals/pending/tiered-llm-p6-native-invokemodel-and-pricing.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
tiered-llm-p9-forwarding-and-otlp.md	pending_accurate	docs/proposals/pending/tiered-llm-p9-forwarding-and-otlp.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
transactional-turn-rewind-and-session-recovery.md	pending_accurate	docs/proposals/pending/transactional-turn-rewind-and-session-recovery.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
user-selectable-fusion-surface-residual.md	pending_accurate	docs/proposals/pending/user-selectable-fusion-surface-residual.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
v1-stability-and-distributed-validation.md	pending_accurate	docs/proposals/pending/v1-stability-and-distributed-validation.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
web-search-fanout-resilience-accounting.md	pending_accurate	docs/proposals/pending/web-search-fanout-resilience-accounting.md	-	yes	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
webchat-project-lifecycle.md	pending_accurate	docs/proposals/pending/webchat-project-lifecycle.md	-	no	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
wfe-panel-cannot-seat-under-self-load.md	complete	docs/proposals/done/wfe-panel-cannot-seat-under-self-load.md	-	archive_notice	PENDING_AUDIT_2026-08-04.md	wfe-panel-capacity-go-2026-08-14
wfe-slices-conflict-on-shared-file.md	complete	docs/proposals/done/wfe-slices-conflict-on-shared-file.md	-	archive_notice	PENDING_AUDIT_2026-08-04.md	wfe-sibling-freeze-pr-2648
wizard-first-user-bootstrap.md	complete	docs/proposals/done/wizard-first-user-bootstrap.md	-	archive_notice	PENDING_AUDIT_2026-08-04.md	user-directed-audit-2026-08-04
